Scientific Name,ID
Pirellula staleyi DSM 6068,530564
Thermococcus chitonophagus,54262
Corynebacterium mustelae,571915
Morganella morganii,582
Porcine enterovirus 9,64141
Desulfarculus baarsii DSM 2075,644282
Methanohalobium evestigatum Z-7303,644295
Thermaerobacter marianensis DSM 12885,644966
Actinoplanes sp. N902-109,649831
Streptomyces violaceusniger Tu 4113,653045
Frankia symbiont of Datisca glomerata,656024
Tenacibaculum dicentrarchi,669041
Propionibacterium sp. oral taxon 193,671223
Streptomyces albulus,68570
Oleispira antarctica RB-8,698738
Corynebacterium diphtheriae HC02,698968
Clostridioides difficile M120,699035
Staphylococcus condimenti,70255
Mycobacterium rhodesiae NBB3,710685
Methanocorpusculum bavaricum,71518
Kocuria palustris,71999
Weissella ceti,759620
Prevotella denticola F0289,767031
Moritella viscosa,80854
Rhodoferax antarcticus,81479
Methanoculleus bourgensis,83986
Lysobacter antibioticus,84531
Turneriella parva DSM 21527,869212
Mycobacterium sinense,875328
Desulfobacca acetoxidans DSM 11109,880072
Desulfovibrio piger,901
Starkeya novella,921
Pigeon picornavirus B,928289
Desulfurispirillum indicum,936456
Anaplasmataceae,942
Methanosarcinales,94695
Homo sapiens,9606
