TaxID	Scientific Name	CLARK	Kaiju	Kraken
1283291	Pseudomonas sp. URMO17WK12:I11	NA	NA	NA
1288494	Nitrosospira lacus	NA	5	NA
128944	Aerococcus urinaehominis	NA	NA	NA
12916	Acidovorax	NA	1	NA
1294262	Sulfolobus sp. JCM 16833	NA	NA	NA
1294273	Roseibacterium elongatum DSM 19469	NA	13	NA
1297742	Myxococcus hansupus	NA	1	NA
1298	Deinococcus	NA	NA	NA
1299	Deinococcus radiodurans	NA	NA	NA
1300344	Isoptericola dokdonensis DS-3	NA	1	NA
1301	Streptococcus	NA	1	NA
1302659	Planococcus sp. L10.15	NA	NA	NA
1304	Streptococcus salivarius	NA	NA	NA
1305	Streptococcus sanguinis	NA	NA	NA
1308	Streptococcus thermophilus	NA	NA	NA
131567	cellular organisms	NA	11857	NA
1328314	Azotobacter chroococcum NCIMB 8003	NA	NA	NA
1333851	Enterobacter cloacae ECNIH3	NA	NA	NA
1334193	Enterobacter lignolyticus	NA	NA	NA
1337877	Paenibacillus phage phiIBB_Pl23	126181	NA	NA
134537	Paraburkholderia fungorum	NA	NA	NA
134676	Actinoplanes sp. SE50/110	NA	2	NA
134962	Nocardia soli	NA	1	NA
1358	Lactococcus lactis	NA	1	NA
136841	Pseudomonas aeruginosa group	NA	NA	NA
136843	Pseudomonas fluorescens group	NA	NA	NA
136857	Corynebacterium testudinoris	NA	NA	NA
13687	Sphingomonas	NA	NA	NA
1377	Aerococcus viridans	NA	NA	NA
138336	Blastococcus saxobsidens	NA	NA	NA
1387353	Paludisphaera borealis	NA	1	NA
1392	Bacillus anthracis	1	NA	NA
1400053	Bacteroidales bacterium CF	NA	NA	NA
1420917	Marinobacter salarius	NA	NA	NA
1421	Lysinibacillus sphaericus	1	1	NA
1434011	Komagataeibacter	NA	NA	NA
145261	Methanothermobacter wolfeii	NA	1010	NA
1455609	Haloterrigena jeotgali A29	NA	747	NA
1457153	Chlamydia gallinacea	NA	NA	NA
146827	Corynebacterium simulans	NA	NA	NA
146939	Azospira oryzae	NA	NA	NA
147645	Paracoccus yeei	NA	2	NA
1483596	Methanosarcina sp. 2.H.T.1A.15	NA	NA	NA
1484116	Hymenobacter sp. PAMC 26554	NA	1	NA
1484158	Pantoea sp. PSNIH1	2	NA	NA
1487956	Corynebacterium sp. ATCC 6931	NA	NA	NA
1492898	Flavisolibacter sp. LCS9	1	NA	NA
1515612	Sphingopyxis fribergensis	NA	NA	NA
1526658	Bosea vaviloviae	NA	NA	NA
1528099	Lawsonella clevelandensis	NA	NA	NA
1538644	Sphingobacterium sp. ML3W	NA	NA	NA
1549858	Sphingomonas taxi	NA	1	NA
1555112	Limnochorda pilosa	NA	1	NA
155537	Microscilla sp. PRE1	NA	NA	NA
1561022	Streptomyces sp. CCM_MD2014	NA	NA	NA
1561023	Curtobacterium sp. MR_MD2014	NA	NA	NA
1564114	Rhodococcus sp. B7740	NA	1	NA
1570339	Peptoniphilaceae	NA	NA	NA
1572341	Black sea bass polyomavirus 1	NA	NA	NA
157782	Pseudomonas parafulva	NA	NA	NA
157783	Pseudomonas cremoricolorata	NA	NA	NA
1578	Lactobacillus	NA	NA	NA
1578165	Mycobacterium saopaulense	NA	NA	NA
1579	Lactobacillus acidophilus	NA	NA	NA
158500	Novosphingobium resinovorum	NA	NA	NA
158822	Cedecea neteri	10	NA	NA
158836	Enterobacter hormaechei	1	NA	NA
159087	Dechloromonas aromatica RCB	NA	3	NA
1604	Lactobacillus amylovorus	NA	NA	NA
160799	Paenibacillus borealis	NA	NA	NA
1608628	Candidatus Filomicrobium marinum	1	1	NA
1617448	Geminocystis sp. NIES-3709	NA	NA	NA
1618207	Arthrobacter sp. IHBB 11108	NA	NA	NA
1619308	Cnuibacter physcomitrellae	NA	1	NA
1639108	Chania multitudinisentens	NA	NA	NA
1641402	Pseudonocardia sp. HH130629-09	NA	NA	NA
1644061	Natrialbaceae	NA	8	NA
1644131	Janthinobacterium sp. 1_2014MBL_MicDiv	NA	NA	NA
164608	Sphingomonas sp. KA1	NA	NA	NA
1646498	Acinetobacter sp. TTH0-4	NA	NA	NA
1650658	Actinobacteria bacterium IMCC26256	NA	NA	NA
1652545	Arthrobacter sp. YC-RL1	NA	NA	NA
1653478	Rhodococcus sp. PBTS 1	NA	NA	NA
1653479	Rhodococcus sp. PBTS 2	NA	NA	NA
1654927	Klebsiella phage PKP126	NA	NA	NA
165695	Sphingobium	NA	1	NA
1662458	Acidovorax sp. P4	NA	NA	NA
1678	Bifidobacterium	NA	NA	NA
1678028	Massilia sp. NR 4-1	NA	NA	NA
1678128	Limnohabitans sp. 63ED37-2	NA	NA	NA
1678129	Limnohabitans sp. 103DPR2	NA	NA	NA
169292	Corynebacterium aurimucosum	NA	NA	NA
1697	Corynebacterium ammoniagenes	NA	NA	NA
1697043	Bordetella sp. H567	NA	NA	NA
1702287	Negativicoccus massiliensis	2144	1601	2248
1703	Brevibacterium linens	1	1	NA
170573	Staphylococcus pettenkoferi	NA	NA	NA
1710	Cellulosimicrobium cellulans	NA	NA	NA
1716	Corynebacterium	NA	3	NA
1720344	Psychrobacter sp. AntiMn-1	NA	NA	NA
1725411	Streptomyces sp. CdTB01	1	NA	NA
1747	Cutibacterium acnes	NA	NA	NA
1750	Pseudopropionibacterium propionicum	NA	NA	NA
1760	Actinobacteria	NA	17	NA
176280	Staphylococcus epidermidis ATCC 12228	NA	NA	NA
176299	Agrobacterium fabrum str. C58	NA	NA	NA
1766	Mycobacterium fortuitum	NA	NA	NA
1768108	Deinococcus actinosclerus	NA	1	NA
1768242	Paucibacter sp. KCTC 42545	NA	NA	NA
1769779	Microbulbifer sp. CCB-MM1	NA	NA	NA
1771	Mycobacterium phlei	NA	NA	NA
1772	Mycobacterium smegmatis	NA	1	NA
1773	Mycobacterium tuberculosis	22	NA	12
177874	WEEV complex	NA	NA	NA
177875	SFV complex	NA	NA	NA
1779382	Rhodothermaceae bacterium RA	2	1	NA
1783272	Terrabacteria group	NA	26	NA
1795053	Microbacterium sp. PAMC 28756	NA	NA	NA
1795630	Frondihabitans sp. PAMC 28766	NA	NA	NA
179636	Alicycliphilus denitrificans	NA	1	NA
180282	Delftia tsuruhatensis	NA	NA	NA
1805714	Christensenella massiliensis	483	298	4882
1807790	Rhodococcus sp. BH4	NA	NA	NA
1813	Amycolatopsis	NA	1	NA
1821621	Marinobacterium sp. ST58-10	NA	NA	NA
1827	Rhodococcus	NA	3	NA
1827469	Brevundimonas sp. GW460-12-10-14-LB2	NA	NA	NA
1828	Rhodococcus fascians	NA	NA	NA
1841249	Streptomyces sp. RTd22	NA	NA	NA
1842533	Acidovorax sp. RAC01	NA	NA	NA
1842534	Sinorhizobium sp. RAC02	NA	NA	NA
1842537	Hydrogenophaga sp. RAC07	NA	NA	NA
1842539	Bosea sp. RAC05	NA	NA	NA
1842727	Rhodoferax sp. DCY110	NA	NA	NA
1850254	Arcobacter sp. LPB0137	NA	NA	NA
1855726	Burkholderia sp. KK1	NA	NA	NA
1856685	Pseudomonas sp. TCU-HL1	NA	NA	NA
1858609	Acidovorax sp. T1	NA	NA	NA
1868135	Enterobacter sp. HK169	NA	NA	NA
1869170	Rhizobium sp. S41	NA	NA	NA
1870930	Enterobacter cloacae complex sp. 35734	NA	NA	NA
187272	Alkalilimnicola ehrlichii MLHE-1	NA	NA	NA
1883	Streptomyces	NA	12	NA
1888	Streptomyces albus	NA	1	NA
1889	Streptomyces ambofaciens	NA	1	NA
1890424	Synechococcales	NA	1	NA
1890426	Synechococcaceae	NA	1	NA
1898684	Pseudomonas sp. LPH1	NA	NA	NA
1903186	Brachybacterium sp. P6-10-X1	NA	NA	NA
1904944	Stenotrophomonas sp. LM091	NA	NA	NA
1905847	Curtobacterium sp. BH-2-1-1	NA	NA	NA
1907	Streptomyces glaucescens	NA	2	NA
190721	Ralstonia insidiosa	NA	NA	NA
1907766	Pseudomonas sp. BS-2016	NA	NA	NA
190893	Vibrio coralliilyticus	NA	1	NA
1912	Streptomyces hygroscopicus	NA	3	NA
1912216	Cutibacterium	NA	NA	NA
1920191	Delftia sp. HK171	NA	NA	NA
192421	Planococcus maritimus	NA	NA	NA
1926494	Paraburkholderia sp. SOS3	NA	NA	NA
1930825	Tai Forest alphavirus	NA	NA	NA
1932360	Halorientalis sp. IM1011	NA	NA	NA
193462	Streptomyces niveus	NA	NA	NA
1938606	Janthinobacterium sp. LM6	NA	1	NA
1940762	Nostocales cyanobacterium HT-58-2	NA	NA	NA
1961362	Sphingomonas sp. NIC1	NA	NA	NA
197	Campylobacter jejuni	571	NA	163
1981174	Pseudomonas sp. M30-35	NA	NA	NA
2	Bacteria	NA	213	NA
2003121	Sphingobacterium sp. G1-14	NA	NA	NA
2014	Nocardiopsis dassonvillei	NA	2	NA
2033	Microbacterium testaceum	NA	NA	NA
2034	Curtobacterium	NA	NA	NA
204042	Dickeya zeae	NA	NA	NA
2041	Aeromicrobium erythreum	NA	47	NA
2045	Pimelobacter simplex	NA	NA	NA
2047	Rothia dentocariosa	NA	NA	NA
2053	Gordonia	NA	1	NA
2061	Tsukamurella paurometabola	NA	NA	NA
206389	Rhodocyclales	NA	NA	NA
2070	Pseudonocardiaceae	NA	NA	NA
2100	Mycoplasma hyorhinis	NA	NA	NA
212035	Acanthamoeba polyphaga mimivirus	1	1	NA
2157	Archaea	NA	5	NA
216465	Polaromonas naphthalenivorans	NA	NA	NA
216596	Rhizobium leguminosarum bv. viciae 3841	NA	NA	NA
216778	Stenotrophomonas rhizophila	NA	NA	NA
2173	Methanobrevibacter smithii	NA	NA	NA
2207	Methanosarcina	NA	12	NA
2209	Methanosarcina mazei	NA	NA	NA
222	Achromobacter	NA	NA	NA
223967	Methylobacterium populi	NA	NA	NA
224471	Burkholderiales Genera incertae sedis	NA	NA	NA
227290	Rhizobium/Agrobacterium group	NA	2	NA
2285	Sulfolobus acidocaldarius	NA	NA	NA
232721	Acidovorax sp. JS42	NA	NA	NA
234267	Candidatus Solibacter usitatus Ellin6076	NA	2	NA
237	Flavobacterium	NA	2	NA
2371	Xylella fastidiosa	2	NA	NA
243233	Methylococcus capsulatus str. Bath	NA	7	NA
257708	Roseomonas gilardii	2	1	NA
262	Francisella	NA	1	NA
263358	Verrucosispora maris AB-18-032	NA	5	NA
264198	Ralstonia eutropha JMP134	NA	5	NA
266264	Cupriavidus metallidurans CH34	NA	1	NA
266265	Paraburkholderia xenovorans LB400	NA	NA	NA
266835	Mesorhizobium loti MAFF303099	NA	NA	NA
2702	Gardnerella vaginalis	NA	NA	NA
272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	NA	162	NA
2742	Marinobacter	NA	1	NA
279058	Collimonas arenae	NA	NA	NA
28028	Corynebacterium flavescens	NA	NA	NA
28068	Rubrivivax gelatinosus	NA	NA	NA
28095	Burkholderia gladioli	NA	NA	NA
28112	Tannerella forsythia	NA	NA	NA
28211	Alphaproteobacteria	NA	132	NA
28221	Deltaproteobacteria	NA	1	NA
28447	Clavibacter michiganensis	NA	4	NA
285	Comamonas testosteroni	NA	NA	NA
285473	Streptomyces rubrolavendulae	NA	NA	NA
286	Pseudomonas	NA	9	NA
287	Pseudomonas aeruginosa	NA	4	NA
288705	Renibacterium salmoninarum ATCC 33209	NA	NA	NA
290340	Paenarthrobacter aurescens TC1	NA	1	NA
290397	Anaeromyxobacter dehalogenans 2CP-C	NA	NA	NA
290400	Jannaschia sp. CCS1	NA	NA	NA
292	Burkholderia cepacia	NA	NA	NA
292459	Symbiobacterium thermophilum IAM 14863	NA	1	NA
29385	Staphylococcus saprophyticus	NA	NA	NA
29388	Staphylococcus capitis	NA	NA	NA
294	Pseudomonas fluorescens	NA	3	NA
29449	Rhizobium etli	NA	NA	NA
29486	Yersinia ruckeri	4	NA	NA
296	Pseudomonas fragi	NA	NA	NA
296591	Polaromonas sp. JS666	NA	1	NA
298653	Frankia sp. EAN1pec	NA	1	NA
300	Pseudomonas mendocina	NA	NA	NA
300231	Glaciecola nitratireducens	NA	NA	NA
303	Pseudomonas putida	NA	3	NA
305	Ralstonia solanacearum	NA	1	NA
306537	Corynebacterium jeikeium K411	NA	1	NA
309807	Salinibacter ruber DSM 13855	NA	NA	NA
311402	Agrobacterium vitis S4	NA	NA	NA
312540	Acidiplasma cupricumulans	NA	NA	NA
314146	Euarchontoglires	NA	5876	NA
314225	Erythrobacter litoralis HTCC2594	NA	1	NA
314275	Alteromonas mediterranea	274	NA	277
316	Pseudomonas stutzeri	NA	NA	NA
316056	Rhodopseudomonas palustris BisB18	NA	NA	NA
317	Pseudomonas syringae	NA	1	NA
31957	Propionibacteriaceae	NA	NA	NA
31989	Rhodobacteraceae	NA	9	NA
32	Myxococcus	NA	1	NA
32008	Burkholderia	NA	4	NA
32033	Xanthomonadaceae	NA	2	NA
323097	Nitrobacter hamburgensis X14	NA	NA	NA
329726	Acaryochloris marina MBIC11017	NA	NA	NA
330	Pseudomonas pseudoalcaligenes	NA	NA	NA
33010	Cutibacterium avidum	NA	NA	NA
330922	Psychrobacter cryohalolentis	NA	NA	NA
335283	Nitrosomonas eutropha C91	NA	NA	NA
335659	Bradyrhizobium sp. S23321	NA	1	NA
335928	Xanthobacteraceae	NA	NA	NA
338	Xanthomonas	NA	1	NA
338966	Pelobacter propionicus DSM 2379	NA	NA	NA
33958	Lactobacillaceae	NA	NA	NA
34029	Leptothrix cholodnii	NA	NA	NA
34062	Moraxella osloensis	NA	1	NA
34073	Variovorax paradoxus	NA	NA	NA
343	Xanthomonas translucens	NA	NA	NA
345690	unclassified Lymphocystivirus	NA	NA	NA
347	Xanthomonas oryzae	NA	NA	NA
349124	Halorhodospira halophila SL1	NA	4	NA
351627	Caldicellulosiruptor saccharolyticus DSM 8903	NA	1	NA
354	Azotobacter vinelandii	NA	NA	NA
354276	Enterobacter cloacae complex	NA	NA	NA
357	Agrobacterium	NA	1	NA
35755	Corynebacterium kutscheri	NA	NA	NA
358	Agrobacterium tumefaciens	NA	NA	NA
358220	Acidovorax sp. KKS102	NA	NA	NA
359	Agrobacterium rhizogenes	1	NA	NA
364745	Choristoneura occidentalis granulovirus	NA	29622	100526
365046	Ramlibacter tataouinensis TTB310	NA	NA	NA
367188	Haladaptatus	NA	NA	NA
367189	Haladaptatus paucihalophilus	8	NA	NA
36873	Paraburkholderia xenovorans	NA	NA	NA
370323	Haloterrigena limicola	21	NA	NA
37124	Chikungunya virus	NA	NA	NA
374	Bradyrhizobium	NA	1	NA
375	Bradyrhizobium japonicum	NA	NA	NA
377629	Teredinibacter turnerae T7901	NA	4	NA
378753	Kocuria rhizophila DC2201	NA	2	NA
379	Rhizobium	NA	1	NA
379067	Streptomyces bingchenggensis	NA	NA	NA
379731	Pseudomonas stutzeri A1501	NA	NA	NA
379899	Niabella	NA	NA	NA
383372	Roseiflexus castenholzii DSM 13941	NA	2	NA
384676	Pseudomonas entomophila L48	NA	NA	NA
391037	Salinispora arenicola CNS-205	NA	NA	NA
397945	Acidovorax citrulli AAC00-1	NA	NA	NA
398578	Delftia acidovorans SPH-1	NA	NA	NA
399	Neorhizobium galegae	NA	1	NA
39950	Dialister pneumosintes	NA	1	NA
399739	Pseudomonas mendocina ymp	NA	NA	NA
40137	Oligotropha carboxidovorans	NA	NA	NA
401472	Corynebacterium ureicelerivorans	NA	NA	NA
40214	Acinetobacter johnsonii	NA	NA	NA
40323	Stenotrophomonas	NA	3	NA
40324	Stenotrophomonas maltophilia	NA	NA	NA
406425	Burkholderia cenocepacia MC0-3	NA	NA	NA
407	Methylobacterium	NA	7	NA
407035	Salinicoccus halodurans	NA	1	NA
40754	Thioploca ingrica	NA	1	NA
408	Methylobacterium extorquens	1	1	NA
41275	Brevundimonas	NA	NA	NA
413496	Cronobacter	NA	NA	NA
413882	[Polyangium] brachysporum	NA	1	NA
417290	Saccharopolyspora erythraea prophage pSE211	NA	NA	NA
426117	Methylobacterium sp. 4-46	NA	1	NA
42817	Corynebacterium argentoratense	NA	NA	NA
43357	Kutzneria albida	NA	NA	NA
434	Acetobacter	NA	1	NA
43771	Corynebacterium urealyticum	NA	NA	NA
438753	Azorhizobium caulinodans ORS 571	NA	NA	NA
44249	Paenibacillus	NA	4	NA
443218	Hoyosella subflava DQS3-9A1	NA	1	NA
444444	Chelatococcus daeguensis	NA	NA	NA
445576	Pseudonocardia sp. AL041005-10	NA	NA	NA
446462	Actinosynnema mirum DSM 43827	NA	4	NA
446471	Xylanimonas cellulosilytica DSM 15894	NA	NA	NA
446860	Kocuria flava	NA	NA	NA
450734	Nocardioides dokdonensis	NA	NA	NA
450851	Phenylobacterium zucineum HLK1	NA	1	NA
452652	Kitasatospora setae KM-6054	NA	1	NA
452863	Pseudarthrobacter chlorophenolicus A6	NA	18	NA
455632	Streptomyces griseus subsp. griseus NBRC 13350	NA	NA	NA
456327	Xanthomonas euvesicatoria	NA	NA	NA
463025	Bordetella bronchialis	NA	NA	NA
463040	Bordetella genomosp. 13	NA	5	NA
465515	Micrococcus luteus NCTC 2665	NA	NA	NA
469	Acinetobacter	NA	2	NA
469371	Thermobispora bispora DSM 43833	NA	1	NA
469383	Conexibacter woesei DSM 14684	NA	1	NA
470	Acinetobacter baumannii	NA	NA	NA
471852	Thermomonospora curvata DSM 43183	NA	2	NA
471857	Saccharomonospora viridis DSM 43017	NA	NA	NA
47878	Pseudomonas azotoformans	NA	NA	NA
479431	Nakamurella multipartita DSM 44233	NA	NA	NA
479432	Streptosporangium roseum DSM 43021	NA	1	NA
48	Archangium gephyra	NA	4	NA
482	Neisseria	NA	NA	NA
482462	Mycobacterium sp. PH-06	NA	NA	NA
482957	Burkholderia lata	NA	NA	NA
485	Neisseria gonorrhoeae	NA	NA	NA
48543	Whataroa virus	NA	NA	NA
48544	Fort Morgan virus	NA	NA	NA
485916	Desulfotomaculum acetoxidans DSM 771	NA	2	NA
488447	Burkholderia contaminans	NA	NA	NA
488729	Burkholderia metallica	NA	2	NA
488731	Burkholderia seminalis	NA	NA	NA
490	Neisseria sicca	NA	NA	NA
506	Alcaligenaceae	NA	3	NA
507626	Halomonas chromatireducens	NA	NA	NA
507754	Acidiplasma aeolicum	1343	NA	NA
52	Chondromyces crocatus	NA	7	NA
521096	Tsukamurella paurometabola DSM 20162	NA	2	NA
523847	Sulfolobus metallicus DSM 6482 = JCM 9184	NA	NA	NA
525284	Gardnerella vaginalis ATCC 14019	NA	NA	NA
526226	Gordonia bronchialis DSM 43247	NA	NA	NA
530564	Pirellula staleyi DSM 6068	NA	NA	NA
53335	Pantoea	NA	2	NA
53408	Pseudomonas citronellolis	NA	NA	NA
535289	Acidovorax ebreus TPSY	NA	NA	NA
54262	Thermococcus chitonophagus	14361	NA	NA
54291	Raoultella ornithinolytica	1	NA	NA
543	Enterobacteriaceae	NA	5	NA
543728	Variovorax paradoxus S110	NA	1	NA
546	Citrobacter freundii	NA	NA	NA
547	Enterobacter	NA	NA	NA
548476	Corynebacterium aurimucosum ATCC 700975	NA	NA	NA
549	Pantoea agglomerans	1	NA	NA
550	Enterobacter cloacae	NA	NA	NA
553	Pantoea ananatis	NA	NA	NA
553190	Gardnerella vaginalis 409-05	NA	NA	NA
56	Sorangium cellulosum	NA	5	NA
562	Escherichia coli	27	6	12
564064	Spirosoma rigui	NA	NA	NA
56458	Xanthomonas sacchari	NA	NA	NA
56460	Xanthomonas vesicatoria	NA	NA	NA
565655	Enterococcus casseliflavus EC20	NA	NA	NA
56688	Halorubrum	NA	NA	NA
570	Klebsiella	NA	1	NA
571256	Ochrobactrum pituitosum	NA	NA	NA
571913	Luteipulveratus mongoliensis	NA	NA	NA
572546	Archaeoglobus profundus DSM 5631	NA	1	NA
573	Klebsiella pneumoniae	5	1	NA
573737	Pandoraea oxalativorans	NA	NA	NA
576611	Polynucleobacter asymbioticus	NA	NA	NA
57665	Sulfurospirillum	NA	NA	NA
585	Proteus vulgaris	NA	NA	NA
587753	Pseudomonas chlororaphis	NA	NA	NA
588932	Brevundimonas naejangsanensis	NA	NA	NA
590998	Cellulomonas fimi ATCC 484	NA	1	NA
592316	Pantoea sp. At-9b	1	NA	NA
59300	Getah virus	NA	NA	NA
59301	Mayaro virus	NA	NA	NA
59302	Ndumu virus	NA	NA	NA
59305	Bebaru virus	NA	NA	NA
593907	Cellulomonas gilvus ATCC 13127	NA	NA	NA
595537	Variovorax paradoxus EPS	NA	1	NA
60552	Burkholderia vietnamiensis	NA	NA	NA
61624	Paenibacillus mucilaginosus	NA	NA	NA
61645	Enterobacter asburiae	NA	NA	NA
61652	Serratia rubidaea	NA	NA	NA
621456	Sphingomonas melonis TY	NA	3	NA
632772	Rhodococcus opacus B4	NA	1	NA
640513	Enterobacter asburiae LF7a	NA	NA	NA
644966	Thermaerobacter marianensis DSM 12885	NA	NA	NA
649831	Actinoplanes sp. N902-109	NA	NA	NA
653733	Desulfurispirillum indicum S5	NA	1	NA
65393	Cyanothece sp. PCC 7424	NA	3	NA
657	Photobacterium	NA	NA	NA
662480	Haloferax sulfurifontis ATCC BAA-897	NA	NA	NA
666509	Planktomarina temperata RCA23	NA	2	NA
670516	Mycobacterium chelonae group	NA	NA	NA
67082	BeAn 58058 virus	NA	NA	NA
674703	Rhodoplanes sp. Z2-YC6860	NA	NA	NA
675635	Pseudonocardia dioxanivorans CB1190	NA	3	NA
68249	Streptomyces pactum	NA	2	NA
685727	Rhodococcus hoagii 103S	NA	1	NA
68895	Cupriavidus basilensis	NA	1	NA
69328	Pseudomonas sp. VLB120	NA	NA	NA
693746	Oscillibacter valericigenes Sjm18-20	NA	NA	NA
706587	Desulfomonile tiedjei DSM 6799	NA	3	NA
710696	Intrasporangium calvum DSM 43043	NA	1	NA
712710	Tannerella sp. oral taxon HOT-286	NA	NA	NA
717785	Hyphomicrobium sp. MC1	NA	1	NA
72000	Kocuria rhizophila	NA	NA	NA
72407	Klebsiella pneumoniae subsp. pneumoniae	NA	NA	NA
72758	Staphylococcus capitis subsp. capitis	NA	1	NA
741155	Pseudomonas alcaliphila JAB1	NA	NA	NA
742013	Delftia sp. Cs1-4	NA	NA	NA
746697	Aequorivita sublithincola DSM 14238	NA	2	NA
74829	Pseudomonas balearica	NA	NA	NA
75105	Paraburkholderia caribensis	NA	2	NA
75293	Streptomyces autolyticus	NA	NA	NA
75682	Oxalobacteraceae	NA	NA	NA
761193	Runella slithyformis DSM 19594	NA	NA	NA
76123	Prevotella enoeca	NA	NA	NA
762948	Rothia dentocariosa ATCC 17931	NA	1	NA
765911	Thiocystis violascens DSM 198	NA	NA	NA
765912	Thioflavicoccus mobilis 8321	NA	NA	NA
767029	Pseudopropionibacterium propionicum F0230a	NA	1	NA
76731	Roseateles depolymerans	NA	NA	NA
76761	Pseudomonas veronii	1	2	NA
768507	Cytophagales	NA	1	NA
76892	Caulobacteraceae	NA	NA	NA
777	Coxiella burnetii	NA	1	NA
80840	Burkholderiales	NA	9	NA
80854	Moritella viscosa	NA	2	NA
80864	Comamonadaceae	NA	3	NA
80865	Delftia	NA	NA	NA
80866	Delftia acidovorans	NA	NA	NA
81479	Rhodoferax antarcticus	NA	7	NA
82115	Rhizobiaceae	NA	1	NA
82654	Pseudanabaena sp. PCC 7367	NA	1	NA
83262	Mycobacterium immunogenum	NA	1	NA
83683	Lactobacillus amylolyticus	NA	NA	NA
84595	Gordonia polyisoprenivorans	NA	NA	NA
85006	Micrococcales	NA	4	NA
85007	Corynebacteriales	NA	4	NA
85643	Thauera sp. MZ1T	NA	1	NA
85698	Achromobacter xylosoxidans	NA	NA	NA
861208	Agrobacterium sp. H13-3	NA	NA	NA
868597	Stenotrophomonas maltophilia JV3	NA	NA	NA
869212	Turneriella parva DSM 21527	NA	NA	NA
87882	Burkholderia cepacia complex	NA	4	NA
87883	Burkholderia multivorans	1	NA	NA
