Scientific Name,ID
Picea jezoensis,67778
Picea glehnii,130206
Picea glauca,3330
Picea farreri,369398
Picea engelmannii,3334
Picea crassifolia,308688
Picea breweriana,100117
Picea asperata,162306
Picea alcoquiana,130203
Populus tremula,113636
Meloidogyne incognita,6306
Meloidogyne arenaria,6304
Meloidogyne javanica,6303
Shigella flexneri,623
Shigella dysenteriae,622
Escherichia coli,562
Shigella sonnei,624
Vibrio cholerae O1 biovar El Tor str. Ogawa RND19187,1416747
human gut metagenome,408170
Mus musculus domesticus,10092
Mus musculus castaneus,10091
gut metagenome,749906
mixed DNA library,704108
Astatotilapia calliptera,8154
Haplochromis burtoni,8153
Neolamprologus brichardi,32507
Oreochromis niloticus,8128
Pundamilia nyererei,303518
Trematocranus placodon,323800
Rhamphochromis longiceps,304217
Eclectochromis ornatus,526960
Petrotilapia genalutea,1298786
Maylandia zebra,106582
Lethrinops gossei,57308
Diplotaxodon sp. 'similis',165732
Diplotaxodon limnothrissa,163623
Dimidiochromis kiwinge,163619
Copadichromis virginalis,163618
Anopheles gambiae,7165
Plasmodium falciparum,5833
Salmonella enterica subsp. enterica serovar Typhimurium,90371
Camelus dromedarius,9838
Sus scrofa,9823
Drosophila melanogaster,7227
Dactylis glomerata,4509
Setaria italica,4555
Cajanus cajan,3821
Sorghum bicolor,4558
Lates calcarifer,8187
Ctenopharyngodon idella,7959
Populus trichocarpa,3694
Equus caballus,9796
Pinus sylvestris,3349
Crotalus adamanteus,8729
sediment metagenome,749907
Mycobacterium abscessus,36809
Vibrio furnissii,29494
Bordetella hinzii,103855
Pandoraea pnomenusa,93220
Corynebacterium urealyticum,43771
Corynebacterium pilosum,35756
Corynebacterium kutscheri,35755
Clostridium cochlearium,1494
Clostridium beijerinckii,1520
Aeromonas salmonicida,645
Moraxella boevrei,346665
Psychrobacter phenylpyruvicus,29432
Enterococcus faecalis,1351
Chryseobacterium bernardetii,1241978
Chryseobacterium carnis,1241979
Tissierella praeacuta,43131
Streptococcus pneumoniae,1313
Acinetobacter baumannii,470
Staphylococcus aureus,1280
Enterococcus faecium,1352
Dracunculus medinensis,318479
Spodoptera littoralis,7109
Zea mays subsp. mays,381124
Pristionchus pacificus,54126
Bombus lucorum,30193
Bombus terrestris,30195
Panicum virgatum,38727
Saccharomyces paradoxus,27291
Salmonella bongori,54736
Parabacteroides distasonis,823
Prevotella stercorea,363265
Bacteroides vulgatus,821
Bacteroides thetaiotaomicron,818
Clostridioides difficile,1496
Vibrio cholerae,666
Mycobacterium tuberculosis,1773
Mycobacterium africanum,33894
Mycobacterium bovis,1765
Salmonella enterica subsp. enterica serovar Choleraesuis,119912
Salmonella enterica subsp. enterica serovar Typhisuis,41529
Bordetella pertussis,520
Chlamydia abortus,83555
Chlamydia trachomatis,813
Salmonella enterica,28901
Haemophilus influenzae,727
Haemophilus haemolyticus,726
Haemophilus parainfluenzae,729
Neisseria meningitidis,487
Salmonella enterica subsp. enterica serovar Infantis,595
Salmonella enterica subsp. enterica serovar Hadar,149385
Salmonella enterica subsp. enterica serovar Bovismorbificans,58097
Leptospira interrogans serovar Autumnalis,174157
Salmonella,590
Salmonella enterica subsp. enterica serovar Paratyphi C,57046
Campylobacter jejuni,197
Salmonella enterica subsp. enterica serovar Java,224729
Salmonella enterica subsp. enterica serovar Paratyphi B,57045
Streptococcus pyogenes,1314
Salix viminalis,40686
Streptococcus pneumoniae ATCC 700669,561276
Burkholderia pseudomallei,28450
Xenopus tropicalis,8364
Yersinia pseudotuberculosis,633
Yersinia similis,367190
Yersinia massiliensis,419257
Yersinia kristensenii,28152
Yersinia intermedia,631
Yersinia frederiksenii,29484
Yersinia bercovieri,634
Yersinia rohdei,29485
Yersinia mollaretii,33060
Yersinia enterocolitica,630
Klebsiella variicola,244366
Klebsiella quasipneumoniae,1463165
Mycobacterium marinum,1781
Mycobacterium microti,1806
Neisseria cinerea,483
Neisseria subflava,28449
Neisseria polysaccharea,489
Neisseria mucosa subsp. heidelbergiensis,90368
Neisseria sicca,490
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,85569
Salmonella enterica subsp. enterica serovar Enteritidis,149539
Salmonella enterica subsp. enterica serovar Dublin,98360
Mycobacterium avium subsp. paratuberculosis,1770
Influenzavirus A,197911
Streptococcus dysgalactiae subsp. equisimilis,119602
Streptococcus sp. 'group A',36470
Neisseria lactamica,486
Salmonella enterica subsp. enterica serovar Paratyphi A,54388
Salmonella enterica subsp. enterica serovar Typhi,90370
Schistosoma mansoni,6183
Neisseria gonorrhoeae,485
Neisseria canis,493
Neisseria dentiae,194197
Neisseria,482
Neisseria flavescens,484
Neisseria perflava,33053
Neisseria flava,34026
Neisseria mucosa,488
Neisseria elongata,495
Mus musculus musculus,39442
Leptospira interrogans,173
Gorilla gorilla gorilla,9595
Chlamydia pneumoniae,83558
Blautia producta,33035
Mycoplasma amphoriforme,273136
Kocuria kristinae,37923
Clostridium paraputrificum,29363
Bacillus subtilis subsp. spizizenii,96241
Listeria welshimeri,1643
Streptococcus downei,1317
Legionella pneumophila subsp. pascullei,91890
Afipia felis,1035
Bacillus cereus,1396
Campylobacter jejuni subsp. jejuni,32022
Bordetella trematum,123899
Streptococcus sanguinis,1305
Slackia heliotrinireducens,84110
Streptococcus equi,1336
Escherichia coli ETEC H10407,316401
Micrococcus luteus,1270
Lactobacillus crispatus,47770
Lactobacillus rhamnosus,47715
Streptococcus mitis,28037
Corynebacterium coyleae,53374
Actinomyces neuii,33007
Streptococcus agalactiae,1311
Corynebacterium tuscaniense,302449
Bifidobacterium longum,216816
Bifidobacterium breve,1685
Streptococcus gallolyticus,315405
Actinomyces oris,544580
Corynebacterium minutissimum,38301
Aerococcus urinae,1376
Lactobacillus iners,147802
Streptococcus anginosus,1328
Lactobacillus gasseri,1596
Streptococcus salivarius,1304
Corynebacterium aurimucosum,169292
Staphylococcus epidermidis,1282
Staphylococcus warneri,1292
Lactobacillus jensenii,109790
Staphylococcus lugdunensis,28035
Alloscardovia omnicolens,419015
Streptococcus vestibularis,1343
Staphylococcus pettenkoferi,170573
Enterobacter cloacae,550
Enterobacter ludwigii,299767
Staphylococcus saprophyticus,29385
Lactobacillus johnsonii,33959
Corynebacterium freneyi,134034
Oligella urethralis,90245
Staphylococcus hominis,1290
Corynebacterium riegelii,156976
Facklamia hominis,178214
Streptococcus parasanguinis,1318
Staphylococcus simulans,1286
Cutibacterium avidum,33010
Streptococcus gordonii,1302
Corynebacterium matruchotii,43768
Bifidobacterium bifidum,1681
Bifidobacterium dentium,1689
Corynebacterium tuberculostearicum,38304
Plasmodium chabaudi,5825
Tremarctos ornatus,9638
Ursus thibetanus,9642
Melursus ursinus,9636
Helarctos malayanus,9634
Micrurus spixii,129469
Micrurus corallinus,54390
Micrurus lemniscatus,129464
Haliotis tuberculata,36103
Danio albolineatus,27699
Salmonella enterica subsp. enterica serovar Eastbourne,486993
Salmonella enterica subsp. enterica serovar Chester,149386
Salmonella enterica subsp. enterica serovar Brandenburg,149387
Salmonella enterica subsp. enterica serovar Muenster,82689
Salmonella enterica subsp. enterica serovar Montevideo,115981
Salmonella enterica subsp. enterica serovar Reading,165302
Salmonella enterica subsp. enterica serovar Oranienburg,28147
Salmonella enterica subsp. enterica serovar Arechavaleta,486988
Salmonella enterica subsp. enterica serovar Javiana,363569
Neisseria bacilliformis,267212
Yersinia pekkanenii,1288385
Yersinia aleksiciae,263819
[Haemophilus] parasuis,738
Yersinia ruckeri,29486
Klebsiella pneumoniae subsp. rhinoscleromatis,39831
mouse gut metagenome,410661
CRISPR-mediated gene targeting vector p(U6a-BsaI-gRNA),1682107
Vitis vinifera,29760
Ophiorrhiza pumila,157934
Acinetobacter ursingii,108980
Ursus spelaeus,39097
Delphinapterus leucas,9749
Bison bison,9901
Bos mutus,72004
Ursus arctos,9644
Platichthys flesus,8260
Python bivittatus,176946
Eptatretus burgeri,7764
Ciona intestinalis,7719
Slackia exigua,84109
Corynebacterium striatum,43770
Pseudomonas chlororaphis subsp. chlororaphis,333
Tsukamurella paurometabola,2061
Pseudomonas chlororaphis,587753
[Clostridium] symbiosum,1512
Clostridium tetani,1513
Peptoniphilus indolicus,33030
Pasteurella multocida,747
Anaerococcus octavius,54007
Leuconostoc mesenteroides,1245
Vibrio harveyi,669
Bordetella ansorpii,288768
Vibrio anguillarum,55601
Cardiobacterium valvarum,194702
Lautropia mirabilis,47671
Edwardsiella ictaluri,67780
Actinobacillus suis,716
Bordetella holmesii,35814
Arcobacter butzleri,28197
Ralstonia pickettii,329
Acinetobacter haemolyticus,29430
Burkholderia cenocepacia,95486
Haemonchus contortus,6289
Peromyscus eremicus,42410
Lachnoclostridium phytofermentans,66219
Kittacincla malabarica,1948888
Copsychus saularis,343929
Mixornis gularis,1948886
Diospyros kaki,35925
Ectopistes migratorius,187118
Solanum lycopersicum,4081
Capsella bursa-pastoris,3719
Burkholderia ubonensis,101571
Human alphaherpesvirus 1,10298
Macrobrachium rosenbergii,79674
Penaeus monodon,6687
Actinomyces odontolyticus,1660
Mycoplasma iowae,2116
Pseudopropionibacterium propionicum,1750
Legionella londiniensis,45068
[Clostridium] cocleatum,69824
Bifidobacterium longum subsp. infantis,1682
Corynebacterium mycetoides,38302
Corynebacterium bovis,36808
Clostridium tertium,1559
Clostridium fallax,1533
Rhodococcus erythropolis,1833
Corynebacterium ulcerans,65058
Veillonella atypica,39777
Legionella quinlivanii,45073
Anaerobiospirillum thomasii,179995
Enterococcus avium,33945
Listeria ivanovii subsp. ivanovii,202751
Legionella cincinnatiensis,28085
Legionella parisiensis,45071
Dermatophilus congolensis,1863
Burkholderia multivorans,87883
Peptostreptococcus anaerobius,1261
Clostridium sporogenes,1509
Neisseria zoodegmatis,326523
Streptococcus acidominimus,1326
Bacteroides pyogenes,310300
Aeromonas caviae,648
Aeromonas encheleia,73010
Pragia fontium,82985
Salmonella enterica subsp. enterica,59201
Pseudomonas aeruginosa,287
Acinetobacter schindleri,108981
Acinetobacter radioresistens,40216
Pseudomonas koreensis,198620
Acinetobacter guillouiae,106649
Rodentibacter pneumotropicus,758
Burkholderia gladioli,28095
Acinetobacter junii,40215
Enterobacter asburiae,61645
Comamonas testosteroni,285
Stenotrophomonas maltophilia,40324
Acinetobacter nosocomialis,106654
Klebsiella oxytoca,571
Acinetobacter calcoaceticus,471
Serratia marcescens,615
Pseudomonas jinjuensis,198616
Pseudomonas putida,303
Pseudomonas stutzeri,316
Pseudomonas fulva,47880
Serratia fonticola,47917
Empedobacter falsenii,343874
Achromobacter xylosoxidans,85698
Enterobacter kobei,208224
Salmo salar,8030
Vicia faba,3906
human metagenome,646099
Oryza sativa Indica Group,39946
Borreliella burgdorferi,139
Allium fistulosum,35875
Allium cepa var. aggregatum,28911
Crassostrea virginica,6565
Eleocharis vivipara,63338
Legionella oakridgensis ATCC 33761 = DSM 21215,1268635
metagenome,256318
Quercus rubra,3512
Bacillus coagulans,1398
Staphylococcus fleurettii,150056
Veillonella criceti,103891
[Flavobacterium] thermophilum,1414643
Legionella moravica,39962
Capnocytophaga canimorsus,28188
Helicobacter mustelae,217
Legionella lansingensis,45067
Legionella spiritensis,452
Veillonella rodentium,248315
Odoribacter splanchnicus,28118
Streptococcus cristatus,45634
Mycoplasma glycophilum,171285
Mycoplasma ovipneumoniae,29562
Mycoplasma canis,29555
Mycoplasma pulmonis,2107
Propionibacterium freudenreichii,1744
Paenibacillus macquariensis,948756
Capnocytophaga granulosa,45242
Mycoplasma edwardii,53558
Mycoplasma hyopneumoniae,2099
synthetic construct,32630
Bufo bufo,8384
Salvelinus alpinus,8036
Bergeyella zoohelcum,1015
Human rhinovirus A31,185902
Human rhinovirus A28,147672
Human rhinovirus A25,185898
Human rhinovirus A24,185897
Human rhinovirus A23,12135
Human rhinovirus A20,147675
Human rhinovirus 1B,12129
Human rhinovirus A2,12130
Rhinovirus B48,147679
Human rhinovirus A19,185895
Human rhinovirus A18,147674
Human rhinovirus B17,150904
Human rhinovirus A16,31708
Human rhinovirus B14,12131
Human rhinovirus A11,39767
Human rhinovirus A10,185892
Human coronavirus 229E,11137
Feline calicivirus strain F9,11981
Treponema pallidum subsp. pertenue,168
Enterococcus hirae,1354
Bacillus firmus,1399
Capnocytophaga haemolytica,45243
Phocoenobacter uteri,146806
Bartonella grahamii,33045
Legionella birminghamensis,28083
Capnocytophaga cynodegmi,28189
Fusobacterium ulcerans,861
Veillonella dispar,39778
Influenza B virus (B/Lisboa/13/2010),1601029
Influenza B virus (B/Lisboa/8/2010),1601035
Influenza B virus (B/Luxembourg/558/2010),1953925
Influenza B virus (B/Madagascar/7766/2010),1953924
Influenza B virus (B/Tehran/5277/2010),1953923
Influenza B virus (B/Tehran/5246/2010),1953922
Influenza B virus (B/Latvia/12-41046/2010),1953918
Influenza B virus (B/HongKong/2207/2010),1953917
Influenza B virus (B/Berlin/2/2010),1953915
Influenza B virus (B/Berlin/1/2010),1953914
Influenza B virus (B/NordrheinWestfalen/1/2010),1953913
Influenza B virus (B/Niedersachsen/2/2010),1601125
Influenza B virus (B/Paris/1850/2010),1601174
Influenza B virus (B/Bretagne/2278/2010),1953908
Influenza B virus (B/Finland/39/2010),1600380
Influenza B virus (B/Finland/33/2010),1600378
Influenza B virus (B/Ireland/0132/2010),1953905
Influenza B virus (B/Genoa/02/2010),1953904
Influenza B virus (B/Georgia/75/2011),1953903
Influenza B virus (B/Washington/01/2010),1111597
Influenza B virus (B/England/421/2010),1953899
Influenza B virus (B/England/512/2010),1600374
Influenza B virus (B/England/170/2010),1600372
Influenza B virus (B/Parma/3/2011),1953898
Influenza B virus (B/Geneva/4201882/2011),1953897
Influenza B virus (B/Lyon/68/2011),1953896
Influenza B virus (B/Lisboa/4/2011),1953891
Influenza B virus (B/Lisboa/36/2010),1953890
Influenza B virus (B/Trieste/05/2011),1953889
Influenza B virus (B/Parma/04/2010),1953888
Influenza B virus (B/Milano/10/2011),1953887
Influenza B virus (B/Ceuta/RR7186/2011),1953886
Influenza B virus (B/Cameroon/10v-4954/2010),1953883
Influenza B virus (B/Turkey/93/2011),1953882
Influenza B virus (B/Turkey/97/2011),1953881
Influenza B virus (B/Turkey/103/2011),1953880
Influenza B virus (B/Algeria/G44/2010),1953879
Influenza B virus (B/Ghana/FS11244/2011),1953875
Influenza B virus (B/Athens/10051/2011),1953873
Influenza B virus (B/Kharkov/4178/2010),1600950
Influenza B virus (B/Voronezh/20/2011),1953868
Influenza B virus (B/Malta/MV000738/2011),1953867
Influenza B virus (B/Madagascar/0245/2011),1953866
Influenza B virus (B/Madagascar/1119/2011),1953865
Influenza B virus (B/Ukraine/7/2011),1953864
Influenza B virus (B/Ukraine/142/2011),1953863
Influenza B virus (B/England/168/2011),1953860
Influenza B virus (B/England/172/2011),1953853
Influenza B virus (B/England/169/2011),1953852
Influenza B virus (B/Serbia/2061),1953850
Influenza B virus (B/Serbia/2049),1953849
Influenza B virus (B/Malmoe/2/2011),1953846
Influenza B virus (B/Stockholm/14/2011),1953845
Influenza B virus (B/Norway/1188/2011),1953842
Influenza B virus (B/Malmoe/1/2011),1953841
Influenza B virus (B/Norway/490/2011),1953840
Influenza B virus (B/Minsk/1559/2011),1953836
Influenza B virus (B/Vitebsk/672/2011),1953835
Influenza B virus (B/Slovenia/1010/2011),1953830
Influenza B virus (B/Slovenia/819/2011),1953829
Influenza B virus (B/Ghana/735/2011),1953828
Influenza B virus (B/Ghana/516/2011),1953827
Influenza B virus (B/LyonCHU/16167/2011),1953826
Influenza B virus (B/LyonCHU/15731/2011),1953825
Influenza B virus (B/LyonCHU/14767/2011),1953824
Influenza B virus (B/Slovenia/1141/2011),1953822
Influenza B virus (B/Ghana/850/2011),1953821
Influenza B virus (B/HongKong/765/2011),1953820
Influenza B virus (B/HongKong/748/2011),1953809
Influenza B virus (B/HongKong/767/2011),1953810
Influenza B virus (B/Dnepropetrovsk/4719/2011),1953813
Influenza B virus (B/Odessa/4709/2011),1953812
Influenza B virus (B/Donetsk/4546/2011),1953811
Influenza B virus (B/Donetsk/5206/2011),1953802
Influenza B virus (B/Bangladesh/3333/2007),1089587
Influenza B virus (B/Paris/1762/2008),1953777
Influenza B virus (B/Ankara/TR10/2011),1953790
Influenza B virus (B/Astrakhan/22/2011),1953789
Influenza B virus (B/Vilnius/703/2011),1953788
Influenza B virus (B/Madagascar/2550/2011),1953787
Influenza B virus (B/Madagascar/1191/2011),1953786
Influenza B virus (B/Paris/1260/2011),1953785
Influenza B virus (B/Iceland/62/2011),1953784
Influenza B virus (B/Iceland/21/2011),1953783
Influenza B virus (B/England/243/2011),1953782
Influenza B virus (B/Paris/1403/2011),1953781
Influenza B virus (B/Bretagne/1083/2011),1953780
Influenza B virus (B/Stockholm/12/2011),1953779
Influenza B virus (B/Odessa/3886/2010),1953778
Influenza B virus (B/Brisbane/60/2008),604436
Influenza B virus (B/England/393/2007),1953776
Influenza B virus (B/Valladolid/57/2010),1953893
Influenza B virus (B/Israel/4-11/2011),1953892
Influenza B virus (B/Lisboa/56/2010),1601034
Influenza B virus (B/Ceuta/RR7185/2010),1953885
Influenza B virus (B/LaRioja/RR6969/2010),1953884
Influenza B virus (B/StPetersburg/5/2011),1953878
Influenza B virus (B/Murmansk/3/2011),1953877
Influenza B virus (B/Estonia/55784/2011),1953876
Influenza B virus (B/CzechRep/36/2011),1953874
Influenza B virus (B/Moldova/284/2011),1953872
Influenza B virus (B/Doneck/4353/2011),1953871
Influenza B virus (B/Hmelnizk/4273/2010),1953870
Influenza B virus (B/Kharkov/4260/2010),1953869
Influenza B virus (B/Ukraine/30/2011),1953862
Influenza B virus (B/Ireland/21653/2011),1953861
Influenza B virus (B/England/684/2010),1953859
Influenza B virus (B/Madagascar/0236/2011),1953858
Influenza B virus (B/Serbia/2095),1953857
Influenza B virus (B/Serbia/2094),1953856
Influenza B virus (B/Turkey/674/2011),1953855
Influenza B virus (B/Turkey/682/2011),1953854
Influenza B virus (B/Serbia/2089),1953851
Influenza B virus (B/HongKong/591/2011),1953848
Influenza B virus (B/Norway/1276/2011),1953847
Influenza B virus (B/Slovakia/302/2011),1953844
Influenza B virus (B/Slovakia/193/2011),1953843
Influenza B virus (B/Malta/MV457/2011),1953839
Influenza B virus (B/HongKong/1889/2010),1953838
Influenza B virus (B/Ireland/132/2010),1953837
Influenza B virus (B/LyonCHU/1288/2011),1953834
Influenza B virus (B/Poitiers/267/2011),1953833
Influenza B virus (B/Ghana/494/2011),1953832
Influenza B virus (B/Lyon/1179/2011),1953831
Influenza B virus (B/Dnepropetrovsk/4411/2010),1953823
Influenza B virus (B/Odessa/4705/2010),1953819
Influenza B virus (B/Hmelnizk/4637/2011),1953818
Influenza B virus (B/HongKong/762/2011),1953817
Influenza B virus (B/HongKong/599/2011),1953816
Influenza B virus (B/HongKong/568/2011),1953815
Influenza B virus (B/Dnepropetrovsk/4720/2011),1953814
Influenza B virus (B/Madagascar/8699/2011),1953808
Influenza B virus (B/Madagascar/3866/2011),1953807
Influenza B virus (B/Cameroon/11V-12080GVF1/2011),1953806
Influenza B virus (B/Cameroon/13V-16387GVF1/2011),1953805
Influenza B virus (B/CameroonLEID/07111846/2011),1953804
Influenza B virus (B/Iceland/48/2011),1953803
Influenza B virus (B/Donetsk/5188/2011),1953801
Influenza B virus (B/Crimea/4980/2011),1953800
Influenza B virus (B/Skuodas/946/2011),1953799
Influenza B virus (B/Vilnius/704/2011),1953798
Influenza B virus (B/Ankara/TR21/2011),1953797
Influenza B virus (B/Antalya/TR12/2011),1953796
Influenza B virus (B/Adana/TR06/2010),1953795
Influenza B virus (B/Konya/TR01/2010),1953794
Influenza B virus (B/Cameroon/11V12076GVFI/2011),1953793
Influenza B virus (B/Cameroon/LEID01111438/2011),1953792
Influenza B virus (B/Sivas/TR14/2011),1953791
Influenza B virus (B/Zamora/52/2010),1601792
Influenza B virus (B/Egypt/65/2010),1953921
Influenza B virus (B/Egypt/66/2010),1953920
Influenza B virus (B/Egypt/46/2010),1953919
Influenza B virus (B/HongKong/2200/2010),1953916
Influenza B virus (B/Lisboa/21/2010),1601033
Influenza B virus (B/Lisboa/15/2010),1601031
Influenza B virus (B/HongKong/2188/2010),1953912
Influenza B virus (B/Lisboa/20/2010),1601032
Influenza B virus (B/Lisboa/14/2010),1601030
Influenza B virus (B/Brussels/G0707/2010),1953911
Influenza B virus (B/Latvia/12-43110/2010),1953910
Influenza B virus (B/Agadir/156/2011),1953909
Influenza B virus (B/Brussels/G0710/2010),1953907
Influenza B virus (B/CotedIvoire/GR1520/2010),1953906
Influenza B virus (B/CotedIvoire/GR1655/2010),1953902
Influenza B virus (B/CotedIvoire/GR1576/2010),1953901
Influenza B virus (B/Valladolid10/2011),1953900
Influenza B virus (B/Lyon/74/2011),1953895
Influenza B virus (B/Slovenia/46/2011),1953894
Pieris brassicae,7116
Heliothis virescens,7102
Bubalus bubalis,89462
Crocuta crocuta,9678
Cucumis melo,3656
Columbicola columbae,128991
Megalaspis cordyla,232276
Gerres filamentosus,274467
Cynoglossus joyneri,366923
Thunnus tonggol,48169
Pseudorasbora parva,51549
Parapterois heterura,1585663
Konosirus punctatus,365056
Terapon jarbua,163131
Scolopsis monogramma,443717
Scolopsis taenioptera,443718
Coilia nasus,365059
Acanthogobius flavimanus,86203
Centropyge flavissima,586787
Atule mate,197572
Sphyraena putnamae,443726
Selar crumenophthalmus,146146
Siganus javus,225760
Silurus biwaensis,1604540
Cottus pollux,137882
Silurus asotus,30991
Cicer arietinum,3827
Physeter catodon,9755
Glycine max,3847
Menidia menidia,238744
Musa acuminata AAA Group,214697
Quercus robur,38942
Achromobacter marplatensis,470868
Moraxella caviae,34060
Vibrio metschnikovii,28172
Plasmodium berghei,5821
Oithona nana,136191
Amaranthus caudatus,3567
soil metagenome,410658
Tetranychus urticae,32264
marine sediment metagenome,412755
Pinctada maxima,104660
Paracentrotus lividus,7656
Lichanura trivirgata,51879
Boechera stricta,72658
unidentified influenza virus,11309
Influenza B virus (B/England/145/2008),1089590
Influenza B virus (B/reassortant/NYMC BX-42(Lee/1940 x Panama/45/1990)),1171656
Influenza B virus (B/Bulgaria/35/2011),1953775
Influenza B virus (B/StPetersburg/93/2011),1953774
Influenza B virus (B/Murmansk/2/2010),1953773
Influenza B virus (B/Kazakhstan/2078/2011),1953772
Astatotilapia bloyeti,85440
Streptococcus suis,1307
Burkholderia stagnalis,1503054
Burkholderia vietnamiensis,60552
Burkholderia anthina,179879
Burkholderia ambifaria,152480
Paraburkholderia phenoliruptrix,252970
Chlamydia pecorum,85991
Onychomys torridus,38674
Shewanella baltica,62322
Mycoplasma conjunctivae,45361
Mycoplasma cynos,171284
Legionella feeleii,453
Mycoplasma bovigenitalium,2112
Mycoplasma alkalescens,45363
Mycoplasma dispar,86660
Mobiluncus mulieris,2052
Helicobacter fennelliae,215
Kurthia zopfii,1650
Mycobacterium terrae,1788
Mycobacterium gadium,1794
Mycobacterium nonchromogenicum,1782
Anopheles funestus,62324
Pan troglodytes,9598
Alectis indica,436001
Alepes kleinii,436002
Fibramia lateralis,638140
Lactobacillus plantarum subsp. plantarum ST-III,889932
Hordeum vulgare,4513
Pogona vitticeps,103695
Pannonibacter phragmitetus,121719
Veillonella ratti,103892
Mycoplasma bovirhinis,29553
Raoultella planticola,575
Mycoplasma fermentans,2115
Campylobacter upsaliensis,28080
Neisseria elongata subsp. glycolytica,88719
Enterococcus mundtii,53346
Bordetella bronchiseptica,518
Streptococcus dysgalactiae,1334
Caenorhabditis elegans,6239
Thunnus albacares,8236
Influenza B virus (B/Lorraine/1023/2012),1954013
Influenza B virus (B/HongKong/3585/2012),1954012
Influenza B virus (B/HongKong/3581/2012),1954011
Influenza B virus (B/HongKong/3579/2012),1954010
Influenzavirus B,197912
Influenza B virus (B/HongKong/3546/2012),1954009
Influenza B virus (B/HongKong/3534/2012),1954008
Influenza B virus (B/HongKong/3508/2012),1954007
Influenza B virus (B/HongKong/3501/2012),1954006
Influenza B virus (B/HongKong/3496/2012),1954005
Influenza B virus (B/Madagascar/03165/2012),1954004
Influenza B virus (B/Madagascar/03142/2012),1954003
Influenza B virus (B/Madagascar/02856/2012),1954002
Influenza B virus (B/Madagascar/02853/2012),1954001
Influenza B virus (B/Madagascar/01732/2012),1954000
Influenza B virus (B/Madagascar/01706/2012),1953999
Influenza B virus (B/Madagascar/01593/2012),1953998
Influenza B virus (B/Madagascar/01591/2012),1953997
Influenza B virus (B/Ghana/DILI12-102/2012),1953996
Influenza B virus (B/BuenosAires/770/2012),1954047
Influenza B virus (B/Lusaka/72/2011),1954046
Influenza B virus (B/Lusaka/63/2011),1954045
Influenza B virus (B/Lusaka/127/2011),1954044
Influenza B virus (B/Mauritius/718/2012),1954043
Influenza B virus (B/Mauritius/571/2012),1954042
Influenza B virus (B/Johannesburg/3462/2012),1954041
Influenza B virus (B/Johannesburg/3559/2012),1954040
Influenza B virus (B/Johannesburg/3952/2012),1954039
Influenza B virus (B/Massachusetts/02/2012),1321139
Influenza B virus (B/Linares/34634/2012),1954038
Influenza B virus (B/NewJersey/01/2012),1954037
Influenza B virus (B/Johanneburg/3964/2012),1954036
Influenza B virus (B/Johannesburg/3958/2012),1954035
Influenza B virus (B/Johannesburg/3005/2012),1954034
